id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E07000136,Boston,18.3,9.3,12.8,19.1,20.0,20.4,94.6,2.0,0.7,1.4,1.2,22.6,10.4,11.7,11.6,15.5,9.9,18.3,46.7,2.0,1.0,0.3,2.8,28.9,18.3,40.9,38.6,16.2,4.0,0.3,26.04,19.77,54.19,25.20,22.22,52.58,26.56,17.06,56.37,78.94,21.06,85.87,14.13,72.34,27.66
E07000137,East Lindsey,14.7,7.6,9.4,14.3,23.5,30.5,97.8,0.8,0.2,1.0,0.2,21.5,9.8,12.9,14.1,18.4,8.6,14.7,38.4,2.3,0.7,0.2,2.4,41.4,14.7,39.8,36.9,18.5,4.6,0.3,24.09,17.88,58.03,23.16,17.84,59.00,24.95,17.98,57.07,79.39,20.61,80.78,19.22,77.51,22.49
E07000138,Lincoln,16.1,20.7,15.0,17.3,16.4,14.5,92.1,3.2,1.4,2.0,1.2,14.6,8.2,10.7,21.4,22.1,6.9,16.1,42.0,2.2,3.0,1.5,11.0,24.1,16.1,45.2,34.5,15.7,4.4,0.3,17.28,13.59,69.13,17.92,14.90,67.19,16.53,12.37,71.10,64.44,35.56,70.40,29.60,59.02,40.98
E07000139,North Kesteven,17.0,8.6,11.6,17.7,21.7,23.4,97.2,1.0,0.4,1.2,0.3,13.5,8.2,12.3,16.7,24.8,7.5,17.0,47.2,1.5,1.0,0.3,2.7,30.4,17.0,52.3,33.7,11.9,2.1,0.1,18.54,16.72,64.74,19.69,17.40,62.91,16.27,16.33,67.40,70.53,29.47,72.51,27.49,68.04,31.96
E07000140,South Holland,17.0,8.5,11.7,17.8,21.3,23.9,96.3,1.2,0.5,1.3,0.6,20.4,10.3,13.1,13.3,16.7,9.2,17.0,46.7,1.8,0.8,0.2,2.2,31.2,17.0,44.0,37.4,15.5,2.9,0.1,25.11,20.33,54.56,26.93,20.04,53.03,22.84,20.65,56.51,75.61,24.39,77.53,22.47,72.32,27.68
E07000141,South Kesteven,17.7,8.2,10.9,18.2,21.9,23.1,95.8,1.8,0.6,1.4,0.4,13.9,8.7,12.5,14.8,24.8,7.6,17.7,46.7,1.8,0.9,0.3,2.7,29.9,17.7,51.7,33.7,12.2,2.3,0.1,19.10,16.47,64.42,20.80,20.83,58.37,17.29,11.82,70.88,72.67,27.33,74.05,25.95,71.23,28.77
E07000142,West Lindsey,16.9,8.1,10.4,16.7,22.8,25.2,97.0,1.2,0.3,1.1,0.4,15.1,8.6,12.2,15.1,24.4,7.8,16.9,43.4,1.8,0.9,0.3,2.8,33.9,16.9,49.2,34.1,13.5,3.0,0.1,17.70,14.98,67.32,20.15,15.29,64.56,14.80,14.88,70.32,69.23,30.77,71.16,28.84,67.65,32.35
E07000143,Breckland,16.7,8.4,11.7,17.0,21.1,25.0,96.5,0.9,0.6,1.4,0.6,18.5,10.0,13.0,14.1,19.2,8.4,16.7,45.5,1.7,0.9,0.2,2.2,32.7,16.7,45.5,36.9,14.6,2.9,0.1,17.51,18.34,64.15,18.53,18.52,62.95,16.25,18.28,65.48,78.03,21.97,85.54,14.46,67.96,32.04
E07000144,Broadland,16.1,8.0,10.4,17.9,21.7,25.9,96.3,1.4,0.5,1.4,0.4,14.7,9.3,13.2,15.2,23.0,8.4,16.1,46.6,1.4,1.0,0.3,2.4,32.3,16.1,51.0,34.6,12.3,2.0,0.1,14.41,14.95,70.64,14.86,18.95,66.19,14.10,10.75,75.15,68.61,31.39,71.06,28.94,66.27,33.73
E07000145,Great Yarmouth,17.1,9.1,11.7,16.9,21.2,24.0,94.6,1.9,1.1,1.6,0.8,22.0,10.8,13.0,13.2,15.1,8.8,17.1,40.4,3.0,0.9,0.4,2.9,35.4,17.1,38.2,36.8,19.1,5.5,0.4,25.89,17.27,56.83,26.78,18.30,54.92,24.61,16.06,59.33,77.52,22.48,90.17,9.83,66.01,33.99
