id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E07000196,South Staffordshire,15.5,8.7,10.9,17.1,22.7,25.1,93.8,2.8,0.9,2.0,0.5,16.3,8.6,12.2,14.9,24.8,7.7,15.5,45.0,1.8,0.9,0.3,2.7,33.9,15.5,50.3,33.6,13.4,2.6,0.1,22.13,18.92,58.95,25.66,22.02,52.32,17.59,14.97,67.43,70.66,29.34,74.42,25.58,65.47,34.53
E07000197,Stafford,17.0,8.3,12.0,18.3,21.5,23.0,93.4,3.0,1.1,1.9,0.7,13.1,7.8,11.7,14.4,29.1,6.9,17.0,46.8,1.6,1.2,0.3,2.7,30.4,17.0,53.0,32.7,11.8,2.4,0.1,17.11,17.21,65.68,18.27,19.55,62.18,15.83,15.10,69.06,63.73,36.27,69.35,30.65,58.56,41.44
E07000198,Staffordshire Moorlands,15.6,8.3,10.0,16.7,23.2,26.2,98.0,0.7,0.2,0.9,0.2,16.9,8.2,11.9,15.1,23.9,8.3,15.6,45.9,1.4,1.1,0.3,2.5,33.1,15.6,49.3,34.2,13.7,2.7,0.1,18.38,18.16,63.45,18.39,20.10,61.51,18.02,16.00,65.98,70.73,29.27,65.96,34.04,75.63,24.37
E07000199,Tamworth,18.9,9.6,13.6,19.1,19.8,19.0,95.8,1.4,0.6,1.9,0.4,17.7,10.5,13.6,14.9,17.7,6.6,18.9,47.3,2.2,1.2,0.5,2.6,27.4,18.9,45.7,34.6,15.9,3.7,0.1,22.92,16.36,60.72,23.09,17.97,58.94,22.89,13.83,63.29,72.78,27.22,74.48,25.52,71.00,29.00
E07000200,Babergh,16.2,8.3,9.8,16.9,22.2,26.6,96.7,0.9,0.5,1.5,0.4,14.6,9.4,13.1,14.5,24.7,7.4,16.2,45.5,1.7,1.0,0.3,2.7,32.6,16.2,51.2,34.8,11.6,2.3,0.1,15.44,14.41,70.15,17.73,15.91,66.36,12.70,12.93,74.37,64.67,35.33,67.07,32.93,62.25,37.75
E07000202,Ipswich,19.9,10.3,14.8,20.4,18.1,16.5,84.3,5.4,3.5,4.6,2.1,17.4,9.6,11.5,13.1,21.0,7.5,19.9,46.7,2.5,1.3,0.5,3.3,25.9,19.9,45.2,34.6,15.7,4.2,0.3,28.31,15.58,56.10,27.32,14.22,58.47,29.25,17.10,53.65,74.32,25.68,74.45,25.55,74.08,25.92
E07000203,Mid Suffolk,16.0,8.5,10.9,17.0,22.4,25.3,96.9,0.8,0.5,1.4,0.4,14.8,8.9,12.4,15.3,25.2,7.4,16.0,47.8,1.4,1.0,0.3,2.5,31.1,16.0,52.2,34.1,11.6,2.0,0.1,15.46,15.48,69.06,15.63,17.30,67.07,15.20,13.59,71.21,71.17,28.83,73.21,26.79,69.26,30.74
E07000207,Elmbridge,21.6,7.7,9.7,22.9,20.2,17.9,86.1,6.5,1.2,4.1,2.0,8.5,5.1,9.0,10.7,40.8,4.4,21.6,47.4,1.9,0.8,0.2,3.7,24.2,21.6,61.9,28.1,8.4,1.6,0.1,12.74,14.62,72.64,15.06,14.90,70.04,10.49,14.48,75.03,54.37,45.63,61.02,38.98,46.37,53.63
E07000208,Epsom and Ewell,20.2,9.3,10.9,22.2,19.4,18.1,79.5,11.4,1.9,4.4,2.8,10.2,6.3,10.1,12.5,35.4,5.3,20.2,48.2,1.8,1.1,0.4,4.2,24.1,20.2,57.6,30.6,9.8,1.9,0.2,13.56,16.32,70.12,12.43,19.29,68.27,14.25,13.18,72.57,63.92,36.08,70.84,29.16,56.16,43.84
E07000209,Guildford,16.9,15.6,12.0,19.1,18.9,17.5,86.9,6.7,1.5,3.1,1.9,9.4,6.0,9.4,16.4,36.6,5.2,16.9,46.4,1.7,2.2,0.8,8.8,23.2,16.9,57.7,30.7,9.5,1.9,0.2,12.79,15.90,71.30,13.85,18.12,68.04,11.82,13.84,74.35,62.63,37.37,71.70,28.30,53.09,46.91
E07000210,Mole Valley,17.2,8.3,9.4,18.8,22.5,23.8,92.7,3.0,0.8,2.5,0.9,10.2,7.1,11.3,12.8,35.7,5.7,17.2,47.5,1.7,0.9,0.2,3.2,29.2,17.2,56.7,31.0,9.9,2.1,0.2,14.87,15.42,69.72,15.77,17.62,66.61,13.84,12.89,73.26,64.80,35.20,70.87,29.13,56.89,43.11
E07000211,Reigate and Banstead,20.4,8.2,12.5,21.7,19.5,17.7,84.4,7.5,2.9,3.7,1.4,10.5,7.3,11.3,13.0,32.0,5.5,20.4,48.8,1.9,1.0,0.3,2.9,24.7,20.4,57.1,30.8,9.9,2.1,0.2,15.80,18.21,65.99,16.00,19.77,64.23,14.70,16.40,68.90,65.59,34.41,64.06,35.94,66.97,33.03
E07000212,Runnymede,17.4,14.8,12.1,19.7,18.7,17.2,83.5,9.2,1.8,3.5,1.9,12.0,7.4,10.4,17.6,29.1,6.1,17.4,46.0,2.1,2.2,0.9,8.1,23.2,17.4,53.4,32.5,11.8,2.2,0.1,13.90,17.93,68.16,17.42,15.61,66.97,10.58,19.65,69.78,71.35,28.65,72.38,27.62,69.66,30.34
E07000213,Spelthorne,19.0,8.7,13.1,21.3,19.9,18.1,78.7,12.8,2.5,3.7,2.4,13.6,9.0,11.7,12.8,27.2,6.7,19.0,49.1,2.5,1.0,0.4,2.9,25.1,19.0,50.9,33.6,12.6,2.7,0.2,19.02,17.74,63.25,19.34,19.60,61.06,18.49,16.09,65.42,65.72,34.28,66.70,33.30,64.72,35.28
E07000214,Surrey Heath,18.4,8.9,11.4,20.4,21.2,19.7,85.0,8.9,1.6,2.7,1.8,10.7,7.8,11.7,13.7,32.0,5.8,18.4,49.1,2.0,1.1,0.3,3.1,26.0,18.4,57.9,31.1,9.1,1.7,0.1,14.36,14.97,70.67,16.53,15.51,67.96,11.49,14.71,73.80,59.02,40.98,64.43,35.57,53.11,46.89
E07000215,Tandridge,19.4,8.8,10.2,19.6,21.2,20.9,89.4,3.7,2.2,3.8,0.9,11.1,7.6,12.2,14.0,30.2,5.5,19.4,47.6,1.9,0.8,0.3,3.3,26.7,19.4,56.0,31.6,10.1,2.1,0.1,13.74,17.10,69.16,13.29,20.22,66.49,13.28,14.25,72.47,65.94,34.06,69.08,30.92,62.49,37.51
E07000216,Waverley,19.2,9.3,9.2,19.9,20.7,21.8,93.7,2.8,0.7,2.2,0.6,9.2,5.9,10.6,12.3,37.7,5.1,19.2,46.3,1.5,1.1,0.3,4.5,27.1,19.2,59.5,29.9,8.8,1.6,0.1,11.80,14.77,73.44,13.55,15.62,70.82,9.55,13.88,76.57,62.83,37.17,59.66,40.34,65.98,34.02
E07000217,Woking,20.2,8.6,13.2,22.8,18.6,16.6,78.4,14.2,1.8,3.5,2.1,10.6,6.7,9.9,11.7,35.7,5.2,20.2,49.6,2.1,1.2,0.3,3.1,23.6,20.2,56.2,31.0,10.4,2.2,0.2,15.58,16.24,68.19,18.23,19.74,62.02,12.73,12.47,74.80,57.12,42.88,61.44,38.56,52.27,47.73
E07000218,North Warwickshire,17.1,8.8,12.0,17.8,22.4,21.9,96.1,1.3,0.6,1.7,0.3,18.4,9.6,12.7,14.6,20.6,7.1,17.1,47.9,2.0,0.9,0.3,2.6,29.2,17.1,47.3,34.9,14.5,3.2,0.1,19.22,21.37,59.40,22.04,21.35,56.61,16.13,21.49,62.38,77.13,22.87,77.22,22.78,77.18,22.82
E07000219,Nuneaton and Bedworth,19.1,9.3,13.8,18.9,19.9,19.1,87.1,8.0,1.8,1.8,1.2,18.3,9.6,12.1,13.7,19.8,7.3,19.1,46.0,2.2,1.1,0.3,2.9,28.4,19.1,45.1,34.6,16.0,4.1,0.3,21.96,21.80,56.24,22.67,24.68,52.65,21.26,19.07,59.68,72.54,27.46,80.13,19.87,65.42,34.58
E07000220,Rugby,19.4,9.0,13.6,20.6,19.2,18.2,85.7,7.6,2.7,2.8,1.1,12.6,7.8,11.3,13.3,28.1,7.4,19.4,49.5,1.7,1.3,0.3,3.1,24.7,19.4,53.4,33.1,11.1,2.4,0.1,20.35,19.56,60.10,21.26,24.06,54.68,19.34,15.09,65.57,66.94,33.06,69.27,30.73,64.61,35.39
E07000221,Stratford-on-Avon,16.4,7.7,10.5,17.7,22.5,25.2,95.5,1.9,0.4,1.7,0.5,12.0,7.3,11.2,13.8,33.0,6.3,16.4,48.3,1.5,0.9,0.2,2.7,30.1,16.4,56.5,31.8,9.8,1.9,0.1,13.87,17.52,68.61,17.29,16.82,65.89,9.77,18.39,71.85,69.63,30.37,76.80,23.20,61.99,38.01
E07000222,Warwick,17.0,12.4,13.5,19.5,18.7,18.9,84.6,9.7,1.1,3.0,1.6,10.5,6.1,8.9,14.7,37.5,5.3,17.0,47.4,1.8,1.6,0.5,7.1,24.6,17.0,57.4,30.2,9.9,2.2,0.2,13.09,13.39,73.52,14.58,15.17,70.25,11.79,11.81,76.39,62.53,37.47,62.60,37.40,63.85,36.15
E07000223,Adur,18.0,8.0,10.6,19.5,20.4,23.6,93.4,2.2,0.8,2.5,1.1,16.0,9.4,12.3,14.0,22.9,7.4,18.0,45.3,1.9,0.9,0.3,2.9,30.7,18.0,45.5,35.7,15.2,3.4,0.3,15.25,15.01,69.74,15.39,15.87,68.74,14.61,14.09,71.30,69.21,30.79,68.74,31.26,69.36,30.64
E07000224,Arun,15.4,8.2,10.8,16.4,20.9,28.4,95.8,1.6,0.5,1.5,0.6,16.7,9.8,12.9,14.5,22.3,8.3,15.4,43.3,1.9,1.1,0.3,2.6,35.4,15.4,45.9,36.5,14.5,2.9,0.3,16.35,19.76,63.89,17.77,19.76,62.47,14.53,19.79,65.68,73.76,26.24,78.02,21.98,69.00,31.00
E07000225,Chichester,15.6,9.5,10.1,16.2,21.5,27.1,95.4,1.7,0.6,1.6,0.5,12.5,7.5,11.6,15.0,31.4,6.4,15.6,44.1,1.7,1.3,0.5,3.8,33.0,15.6,53.5,33.3,10.9,2.2,0.1,14.55,12.90,72.55,12.95,13.92,73.13,16.21,11.60,72.19,64.45,35.55,73.90,26.10,53.89,46.11
E07000226,Crawley,21.0,9.9,15.7,22.4,17.7,13.3,73.4,15.4,4.5,4.1,2.7,14.1,10.5,12.9,13.0,21.8,6.8,21.0,48.6,3.5,1.1,0.4,3.3,22.1,21.0,46.0,34.7,15.2,3.8,0.3,20.91,18.25,60.85,21.46,19.66,58.87,20.42,16.99,62.60,64.10,35.90,70.04,29.96,59.11,40.89
E07000227,Horsham,17.8,8.3,10.9,18.5,21.8,22.8,93.6,2.7,0.9,2.1,0.6,10.3,7.8,12.8,14.9,30.4,6.1,17.8,48.2,1.7,0.9,0.3,2.9,28.1,17.8,56.7,31.7,9.7,1.7,0.1,12.36,13.78,73.86,9.29,15.22,75.49,15.59,12.06,72.35,60.51,39.49,66.06,33.94,54.60,45.40
E07000228,Mid Sussex,19.2,8.2,11.0,20.6,20.3,20.6,92.2,3.6,0.9,2.5,0.8,9.5,7.5,12.1,14.6,31.3,5.8,19.2,49.2,1.7,1.0,0.3,2.9,25.8,19.2,57.3,31.3,9.6,1.7,0.1,13.55,13.41,73.04,12.84,13.42,73.74,14.27,13.17,72.56,59.25,40.75,61.45,38.55,57.04,42.96
E07000229,Worthing,17.0,8.5,12.0,19.5,20.5,22.4,91.4,3.9,1.2,2.6,1.0,13.5,8.9,12.6,14.7,26.3,6.9,17.0,46.9,2.1,1.2,0.4,2.7,29.7,17.0,47.8,34.8,13.9,3.2,0.4,15.21,16.02,68.77,14.20,17.41,68.39,15.58,14.49,69.93,66.89,33.11,68.15,31.85,65.52,34.48
E07000234,Bromsgrove,18.2,8.5,10.4,18.6,21.4,22.9,93.1,3.2,0.8,2.4,0.5,12.8,7.4,11.5,13.6,29.9,6.5,18.2,46.7,1.7,0.9,0.3,3.2,28.9,18.2,54.7,32.0,11.0,2.1,0.1,14.59,19.28,66.13,15.35,20.97,63.69,13.91,17.57,68.52,63.25,36.75,61.43,38.57,65.27,34.73
E07000235,Malvern Hills,15.6,8.3,9.0,15.8,23.3,28.0,96.6,1.3,0.3,1.4,0.3,12.3,7.3,11.8,13.6,32.7,6.8,15.6,44.2,1.7,0.8,0.2,3.4,34.1,15.6,52.7,33.4,11.8,2.1,0.1,17.35,18.60,64.04,15.59,17.70,66.71,19.43,19.72,60.86,67.24,32.76,64.47,35.53,70.27,29.73
E07000236,Redditch,19.3,9.3,14.0,20.0,18.9,18.6,89.8,5.7,1.2,2.6,0.6,16.8,9.4,12.7,13.9,20.9,7.1,19.3,48.0,2.2,1.0,0.3,2.8,26.4,19.3,46.9,34.4,14.8,3.7,0.3,23.05,20.75,56.19,22.31,23.98,53.71,23.56,17.11,59.34,72.17,27.83,76.80,23.20,67.52,32.48
E07000237,Worcester,17.6,12.1,14.0,19.3,19.4,17.6,90.0,5.6,1.2,2.2,1.0,14.3,7.6,11.1,15.1,27.8,6.5,17.6,47.7,2.2,2.0,0.6,4.7,25.2,17.6,50.1,33.1,13.1,3.5,0.2,20.65,17.30,62.05,20.18,18.41,61.41,21.03,16.64,62.32,71.68,28.32,77.53,22.47,64.29,35.71
E07000238,Wychavon,16.4,8.1,10.9,17.5,22.2,24.9,96.9,1.1,0.3,1.2,0.5,14.7,8.5,11.6,13.9,27.6,7.2,16.4,47.2,1.6,0.9,0.2,2.7,31.0,16.4,51.7,33.7,12.1,2.4,0.1,15.75,16.64,67.61,15.09,18.35,66.57,15.87,15.07,69.06,71.41,28.59,76.56,23.44,65.19,34.81
E07000239,Wyre Forest,16.8,8.5,11.1,17.1,21.3,25.3,95.9,1.9,0.4,1.4,0.4,18.1,8.9,12.5,14.2,21.7,7.8,16.8,44.2,2.1,0.9,0.3,2.7,33.0,16.8,45.9,34.8,15.3,3.8,0.2,20.70,19.81,59.49,20.62,20.96,58.42,20.71,18.44,60.85,70.83,29.17,78.71,21.29,60.82,39.18
E07000240,St Albans,21.7,8.2,10.9,22.4,19.7,17.2,83.6,8.2,2.1,4.3,1.8,8.0,5.2,9.0,10.3,41.5,4.4,21.6,48.1,1.8,1.1,0.3,3.7,23.5,21.6,60.6,28.9,8.5,1.8,0.1,11.76,14.08,74.16,11.35,16.61,72.04,11.73,11.79,76.48,57.23,42.77,61.16,38.84,53.37,46.63
E07000241,Welwyn Hatfield,18.7,14.4,13.3,19.8,18.1,15.7,78.7,8.8,6.1,4.1,2.3,11.7,7.5,10.5,15.5,30.4,5.9,18.7,45.5,1.9,3.0,1.2,7.2,22.4,18.7,51.5,33.3,12.4,2.7,0.2,17.96,16.78,65.25,18.75,16.55,64.71,16.72,17.49,65.80,67.00,33.00,68.97,31.03,64.78,35.22
E07000242,East Hertfordshire,19.3,8.8,12.3,20.5,20.9,18.2,92.3,2.7,1.3,2.8,0.9,11.2,7.6,11.6,13.6,31.1,5.6,19.3,50.1,1.8,0.9,0.3,3.2,24.4,19.3,57.1,31.0,10.0,1.8,0.1,13.76,12.76,73.47,13.32,14.65,72.04,13.91,10.67,75.42,55.92,44.08,55.69,44.31,56.08,43.92
E07000243,Stevenage,20.4,9.5,15.1,20.4,19.5,15.1,82.8,7.5,4.8,3.6,1.3,13.5,10.3,12.2,13.6,23.6,6.4,20.4,49.5,2.2,1.3,0.4,2.8,23.3,20.4,47.7,33.6,14.7,3.6,0.3,22.51,17.74,59.75,21.95,19.27,58.78,23.34,15.20,61.46,64.14,35.86,66.36,33.64,61.61,38.39
E07000244,East Suffolk,16.0,8.3,10.0,16.1,21.9,27.8,96.2,1.4,0.6,1.5,0.4,16.3,9.5,12.6,14.2,23.2,8.3,16.0,42.4,1.9,0.9,0.3,2.6,36.0,16.0,46.9,35.5,14.2,3.2,0.2,14.39,17.70,67.92,14.53,19.55,65.91,14.08,15.60,70.32,63.98,36.02,71.97,28.03,53.24,46.76
E07000245,West Suffolk,17.7,9.7,14.2,18.5,19.2,20.8,91.8,2.6,1.6,2.7,1.3,17.2,8.9,11.6,13.3,23.5,7.9,17.7,48.7,1.7,1.1,0.3,2.5,28.0,17.7,49.3,35.9,12.2,2.4,0.1,20.46,13.83,65.71,23.56,14.28,62.16,16.51,13.39,70.10,64.15,35.85,70.99,29.01,53.93,46.07
E07000246,Somerset West and Taunton,16.6,8.4,11.2,16.9,21.2,25.7,95.6,2.0,0.5,1.3,0.5,13.7,8.0,12.8,14.4,27.1,7.4,16.6,45.6,1.6,1.0,0.3,2.6,32.4,16.6,,,,,,14.71,17.32,67.97,15.11,16.44,68.45,14.06,17.73,68.21,67.99,32.01,71.07,28.93,65.08,34.92
E08000001,Bolton,21.5,10.5,12.8,19.3,18.8,17.1,71.9,20.1,3.8,2.2,1.9,17.7,8.4,10.9,12.9,21.5,7.0,21.5,41.1,2.6,1.3,0.5,4.3,28.7,21.5,43.2,34.1,17.2,5.3,0.3,28.95,17.96,53.09,29.75,18.76,51.49,28.02,17.18,54.80,73.18,26.82,74.71,25.29,71.25,28.75
E08000002,Bury,20.1,9.4,12.9,19.6,19.7,18.3,82.9,10.6,1.9,2.6,1.9,14.8,7.8,11.7,13.2,25.8,6.6,20.1,44.5,2.2,1.1,0.4,3.9,27.8,20.1,47.5,33.6,14.7,4.0,0.2,19.19,16.99,63.83,19.54,16.83,63.63,18.04,17.49,64.47,68.91,31.09,70.24,29.76,68.59,31.41
E08000003,Manchester,20.7,17.7,18.2,19.7,14.3,9.5,56.8,20.9,11.9,5.3,5.1,15.6,6.3,8.2,14.4,29.9,4.9,20.7,39.9,3.2,2.6,1.3,10.4,22.0,20.7,43.6,32.8,17.2,6.0,0.4,22.30,15.90,61.80,22.17,17.69,60.14,21.97,13.89,64.14,67.34,32.66,69.05,30.95,65.36,34.64
E08000004,Oldham,22.7,11.1,13.1,19.1,18.1,16.0,68.1,24.6,3.4,2.5,1.4,19.1,8.5,10.7,12.7,19.0,7.1,22.7,39.4,2.7,1.1,0.5,4.8,28.7,22.7,40.9,34.7,18.2,5.9,0.3,27.56,17.64,54.80,27.14,18.45,54.42,27.06,17.16,55.79,69.31,30.69,70.02,29.98,67.91,32.09
E08000005,Rochdale,21.8,10.1,13.4,19.4,18.8,16.5,74.0,18.5,3.5,2.4,1.6,18.2,8.2,11.0,13.2,20.7,7.0,21.8,41.1,2.5,1.1,0.4,4.2,28.8,21.8,42.7,34.1,17.3,5.6,0.3,26.73,17.49,55.78,29.21,18.93,51.86,23.53,15.98,60.49,75.03,24.97,76.86,23.14,72.29,27.71
E08000006,Salford,19.6,13.0,18.8,19.2,16.0,13.3,82.3,5.5,6.1,3.1,2.9,15.9,7.4,10.1,13.7,26.9,6.4,19.6,45.3,2.9,1.9,0.9,5.4,24.0,19.6,46.4,32.3,15.8,5.2,0.3,23.17,16.56,60.27,25.63,18.70,55.67,19.77,14.79,65.44,67.84,32.16,71.02,28.98,64.05,35.95
E08000007,Stockport,18.9,8.4,12.6,20.0,19.9,20.1,87.4,7.3,1.2,2.6,1.6,12.6,7.4,11.0,13.1,30.4,6.6,18.9,46.5,2.0,0.9,0.3,3.2,28.2,18.9,51.3,32.2,13.0,3.4,0.2,18.00,15.87,66.14,19.84,18.31,61.85,16.07,13.48,70.45,62.77,37.23,65.84,34.16,59.61,40.39
E08000008,Tameside,19.9,9.4,13.6,19.4,20.2,17.5,85.5,9.2,2.3,2.1,0.8,17.5,9.0,12.1,14.2,19.6,7.7,19.9,44.7,2.4,1.0,0.4,3.3,28.3,19.9,43.2,34.2,17.1,5.2,0.3,24.52,18.09,57.39,26.93,19.45,53.62,21.45,16.50,62.06,74.69,25.31,75.06,24.94,74.25,25.75
E08000009,Trafford,20.8,8.8,11.7,21.8,19.3,17.6,77.8,12.6,3.4,3.8,2.5,11.1,6.5,10.0,12.0,34.0,5.6,20.8,46.4,2.0,1.1,0.3,3.9,25.5,20.8,53.9,30.9,12.1,3.0,0.1,16.99,16.70,66.30,17.56,16.59,65.86,16.49,16.83,66.68,60.74,39.26,61.69,38.31,59.24,40.76
E08000010,Wigan,18.4,9.3,13.3,19.1,20.6,19.3,95.0,1.8,1.2,1.3,0.7,17.2,8.6,12.6,14.4,21.1,7.8,18.4,45.8,2.2,1.1,0.4,2.9,29.2,18.4,46.6,32.8,16.0,4.5,0.2,24.26,17.53,58.22,25.70,21.38,52.92,22.61,13.68,63.71,74.57,25.43,81.00,19.00,68.37,31.63
E08000011,Knowsley,19.6,9.8,14.4,17.9,21.3,17.0,95.3,1.6,0.8,1.7,0.6,21.1,8.5,11.6,13.9,19.1,6.2,19.6,43.9,2.5,1.1,0.3,3.3,29.3,19.6,40.8,32.3,19.2,7.3,0.3,26.50,19.56,53.94,30.19,22.58,47.23,22.29,16.47,61.24,70.26,29.74,74.24,25.76,66.40,33.60
E08000012,Liverpool,17.1,16.1,15.5,18.0,18.0,15.3,84.0,5.7,3.5,3.5,3.3,18.5,7.2,9.5,16.6,25.5,5.5,17.1,39.9,2.9,2.4,1.1,9.1,27.5,17.1,41.6,32.7,18.5,6.9,0.3,21.31,16.74,61.95,24.60,18.04,57.36,17.71,15.55,66.75,67.72,32.28,71.31,28.69,63.90,36.10
E08000013,St. Helens,17.8,9.1,13.0,18.7,20.9,20.5,96.5,1.4,0.4,1.1,0.6,17.6,8.5,12.0,14.3,22.3,7.4,17.8,44.1,2.2,1.0,0.3,2.9,31.6,17.8,44.2,33.4,17.1,5.1,0.2,21.61,18.84,59.55,23.18,19.72,57.10,19.46,17.73,62.81,76.19,23.81,80.42,19.58,71.17,28.83
E08000014,Sefton,16.8,8.8,11.6,17.6,22.1,23.2,95.8,1.5,0.5,1.5,0.7,16.4,8.6,11.7,14.5,24.9,7.1,16.8,43.5,2.2,1.1,0.3,3.2,32.8,16.8,45.2,34.0,16.1,4.4,0.2,21.06,17.58,61.36,21.21,20.08,58.71,20.09,15.21,64.70,63.30,36.70,67.97,32.03,58.86,41.14
E08000015,Wirral,18.1,8.9,11.7,17.9,21.4,22.0,95.2,2.3,0.4,1.5,0.6,14.6,7.9,12.0,14.6,25.7,6.9,18.1,42.6,2.0,1.0,0.3,3.5,32.5,18.1,45.7,33.4,16.0,4.6,0.2,18.44,17.82,63.74,19.34,19.43,61.23,16.75,16.32,66.93,70.21,29.79,74.66,25.34,64.57,35.43
E08000016,Barnsley,18.3,9.0,13.5,18.3,21.4,19.5,96.9,0.9,0.7,0.9,0.5,20.6,8.8,11.8,13.8,19.1,7.5,18.3,44.8,2.1,0.9,0.3,2.7,30.9,18.3,42.8,33.9,17.7,5.4,0.2,25.71,16.52,57.77,27.42,17.17,55.41,23.81,15.88,60.30,78.11,21.89,78.13,21.87,78.07,21.93
E08000017,Doncaster,18.6,9.4,13.6,18.4,20.6,19.4,93.1,2.9,1.2,1.5,1.2,20.1,9.3,12.3,13.5,18.5,7.8,18.6,43.8,2.4,0.9,0.3,2.9,31.1,18.6,43.7,34.7,16.7,4.6,0.2,24.74,17.02,58.24,25.68,19.05,55.27,23.48,14.78,61.74,74.34,25.66,80.43,19.57,67.39,32.61
E08000018,Rotherham,18.9,9.6,13.0,18.4,20.5,19.6,91.0,5.3,1.1,1.5,1.1,19.0,9.2,12.6,13.9,18.7,7.6,18.9,43.4,2.2,1.0,0.3,3.1,31.1,18.9,43.6,33.9,17.4,4.8,0.2,22.12,18.53,59.35,22.97,20.19,56.84,20.71,16.66,62.62,73.13,26.87,80.51,19.49,65.46,34.54
E08000019,Sheffield,18.0,14.8,14.3,17.9,18.0,17.0,79.1,9.6,4.6,3.5,3.2,15.9,7.4,9.6,15.2,27.3,6.4,18.0,41.3,2.3,2.2,1.0,8.1,27.1,18.0,45.4,34.0,15.8,4.6,0.3,19.63,17.35,63.02,21.93,19.55,58.52,17.17,15.26,67.57,66.89,33.11,70.02,29.98,63.78,36.22
E08000021,Newcastle upon Tyne,17.2,19.0,14.9,17.5,16.5,14.8,80.0,11.4,3.3,2.3,3.1,15.4,6.6,8.6,17.6,28.7,5.9,17.2,38.6,2.5,3.1,1.4,11.4,25.8,17.2,46.2,32.7,15.8,5.0,0.2,18.02,14.37,67.61,19.25,14.72,66.03,16.28,14.13,69.58,65.87,34.13,68.43,31.57,63.13,36.87
E08000022,North Tyneside,17.9,8.4,12.5,19.9,20.8,20.5,94.9,2.6,0.6,1.4,0.6,14.3,7.7,11.6,13.9,27.0,7.6,17.9,45.6,2.3,1.0,0.4,2.9,29.9,17.9,49.4,32.5,14.3,3.7,0.1,14.82,19.09,66.08,15.45,20.10,64.45,14.23,18.11,67.67,66.99,33.01,65.94,34.06,68.34,31.66
E08000023,South Tyneside,17.9,8.9,12.5,18.0,21.7,20.9,94.4,2.9,0.5,1.4,0.8,16.8,8.3,11.8,15.1,21.5,8.6,17.9,41.4,3.1,0.9,0.4,3.4,32.8,17.9,43.3,34.1,17.5,4.9,0.2,22.77,17.45,59.78,22.63,20.51,56.86,22.12,14.25,63.63,73.58,26.42,81.57,18.43,64.73,35.27
E08000024,Sunderland,17.5,9.8,12.8,18.1,21.3,20.5,94.6,3.0,1.0,0.9,0.5,18.8,8.9,12.2,14.1,20.3,8.1,17.5,41.6,2.7,1.1,0.6,3.8,32.7,17.5,41.5,34.7,18.1,5.4,0.2,21.45,18.72,59.83,23.48,20.30,56.22,18.65,16.74,64.61,76.12,23.88,77.28,22.72,75.29,24.71
E08000025,Birmingham,22.3,14.3,14.6,19.4,16.2,13.1,48.6,31.0,11.0,4.8,4.5,18.5,7.9,9.7,13.3,23.2,5.1,22.3,36.8,3.7,1.8,0.9,7.8,26.7,22.3,40.4,34.7,18.6,5.9,0.4,26.37,18.57,55.06,29.44,20.72,49.84,23.07,16.53,60.40,71.79,28.21,77.12,22.88,66.54,33.46
E08000026,Coventry,19.8,15.4,14.5,19.1,16.6,14.6,65.5,18.5,8.9,3.4,3.7,15.5,8.0,10.1,15.2,24.5,6.8,19.8,40.9,2.7,2.6,1.2,8.4,24.4,19.8,45.0,34.0,16.0,4.6,0.4,22.75,18.99,58.26,21.72,20.62,57.65,23.55,17.31,59.14,71.25,28.75,75.96,24.04,66.33,33.67
E08000027,Dudley,18.9,9.6,12.9,18.3,19.9,20.4,84.9,8.4,2.5,2.8,1.4,18.7,8.8,12.2,13.9,20.3,7.2,18.9,43.8,2.6,0.9,0.4,3.4,30.0,18.9,44.2,34.5,16.9,4.3,0.2,23.84,20.97,55.19,25.58,21.14,53.28,21.89,19.46,58.64,73.34,26.66,75.15,24.85,69.23,30.77
